,win_num,trans_num,winrate,return,ann_return,,,,,,,,
PCAR,3,5,0.6,0.2142397,0.229881753,,,,,,,,
PKG,3,3,1,0.292352091,0.26254576,,,,,,,,
PH,5,7,0.714285714,0.143678381,0.117837135,,,,,,,,
PNR,7,10,0.7,0.334706927,0.206134489,,,,,,,,
PEP,3,5,0.6,0.18008945,0.120765992,,,,,,,,
PFE,6,9,0.666666667,0.104700661,0.18022811,,,,,,,,
PVH,2,5,0.4,0.208679652,0.748536891,,,,,,,,
BRO,3,4,0.75,0.068971676,0.117232945,,,,,,,,
PPG,4,5,0.8,0.404510376,0.219794563,,,,,,,,
PG,7,10,0.7,0.120236148,0.232642074,,,,,,,,
PGR,3,4,0.75,0.571703006,0.226692956,,,,,,,,
ROL,4,4,1,0.23980639,0.576656319,,,,,,,,
TRV,6,6,1,0.198851714,0.421239153,,,,,,,,
SLB,2,3,0.666666667,-0.029845572,0.137812332,,,,,,,,
SHW,3,4,0.75,0.573431263,0.382932348,,,,,,,,
AOS,4,6,0.666666667,0.319309759,0.214081969,,,,,,,,
SJM,4,4,1,0.213489501,0.343979601,,,,,,,,
SNA,3,5,0.6,0.213815075,0.550847434,,,,,,,,
KEY,1,4,0.25,-0.106791296,0.068276821,,,,,,,,
SO,7,9,0.777777778,0.091926407,0.285205104,,,,,,,,
TFC,4,6,0.666666667,0.127356736,0.248308732,,,,,,,,
LUV,4,7,0.571428571,0.518696413,0.257260147,,,,,,,,
CVX,5,6,0.833333333,0.471960974,0.151583773,,,,,,,,
SWK,3,4,0.75,0.271142271,0.226904502,,,,,,,,
STT,1,5,0.2,0.522199796,0.004883019,,,,,,,,
SYY,3,4,0.75,0.158638941,0.231213941,,,,,,,,
TFX,5,6,0.833333333,0.311808898,0.260013101,,,,,,,,
TER,5,7,0.714285714,0.387112109,0.537896802,,,,,,,,
TXN,3,6,0.5,0.105075874,0.689555759,,,,,,,,
TMO,2,3,0.666666667,-0.018821839,0.282605967,,,,,,,,
TSN,5,8,0.625,0.188710893,0.437836924,,,,,,,,
UAL,3,3,1,0.269775903,0.494985638,,,,,,,,
UNP,5,6,0.833333333,0.419512842,0.250013208,,,,,,,,
MRO,7,8,0.875,0.219557919,0.395325124,,,,,,,,
RTX,8,9,0.888888889,0.354608885,0.685230898,,,,,,,,
VFC,3,6,0.5,0.216441295,0.138053288,,,,,,,,
WMT,4,5,0.8,0.983693539,0.554634367,,,,,,,,
WST,4,5,0.8,0.343273708,0.289044793,,,,,,,,
WDC,4,6,0.666666667,0.289898366,1.026326941,,,,,,,,
WY,4,7,0.571428571,0.306626164,0.381954553,,,,,,,,
WHR,7,9,0.777777778,0.217983751,0.466089583,,,,,,,,
WMB,3,5,0.6,0.065362902,0.428573575,,,,,,,,
TJX,3,4,0.75,0.216622733,0.343995428,,,,,,,,
ZION,4,6,0.666666667,0.094492362,0.097882827,,,,,,,,
JNJ,6,7,0.857142857,0.360388188,0.206439177,,,,,,,,
LHX,6,6,1,0.263317616,0.602159846,,,,,,,,
TXT,4,5,0.8,1.061944057,0.430781427,,,,,,,,
GWW,7,7,1,0.346883141,0.393370493,,,,,,,,
CSX,6,7,0.857142857,0.222997734,0.714244647,,,,,,,,
MRK,3,6,0.5,0.13164058,0.110915387,,,,,,,,
SYK,1,1,1,0.094594595,0.033553962,,,,,,,,
DHR,4,4,1,0.514160787,0.445528859,,,,,,,,
CHD,5,5,1,0.347980915,0.243111055,,,,,,,,
DE,6,10,0.6,0.04872314,0.079642794,,,,,,,,
RHI,5,6,0.833333333,0.456140438,0.44619025,,,,,,,,
AON,6,7,0.857142857,0.205549003,0.192838206,,,,,,,,
SCHW,3,5,0.6,-0.006573652,0.101675363,,,,,,,,
AMGN,4,7,0.571428571,0.29894711,0.448738024,,,,,,,,
KLAC,4,5,0.8,0.357781646,0.294140466,,,,,,,,
NKE,5,5,1,0.258443601,0.784430572,,,,,,,,
AAPL,6,8,0.75,0.380191468,0.282786563,,,,,,,,
GL,3,5,0.6,0.104218162,0.208021587,,,,,,,,
LNT,1,5,0.2,-0.076691628,-0.001371947,,,,,,,,
UHS,2,4,0.5,0.108261954,0.081767096,,,,,,,,
AJG,7,9,0.777777778,0.147487007,0.232007237,,,,,,,,
HD,5,7,0.714285714,0.259292582,0.393220387,,,,,,,,
BBWI,4,6,0.666666667,0.105122969,0.288574141,,,,,,,,
NSC,4,5,0.8,0.184111242,0.163124834,,,,,,,,
LRCX,4,7,0.571428571,0.441518065,0.450708078,,,,,,,,
COO,3,5,0.6,0.175288308,0.16737162,,,,,,,,
EA,6,8,0.75,0.516590891,0.918589979,,,,,,,,
PNC,3,3,1,0.495486824,0.181078863,,,,,,,,
D,6,7,0.857142857,0.177597537,0.217680526,,,,,,,,
ATVI,4,5,0.8,0.227660296,0.205432548,,,,,,,,
SIVB,1,3,0.333333333,0.284857717,0.080449221,,,,,,,,
RJF,7,7,1,0.626403774,0.457551621,,,,,,,,
CAH,3,5,0.6,0.668336658,0.160299701,,,,,,,,
MU,4,6,0.666666667,0.283000044,0.654687478,,,,,,,,
CTAS,1,2,0.5,0.153756294,0.3729424,,,,,,,,
PAYX,2,3,0.666666667,0.251577826,0.239396289,,,,,,,,
O,3,4,0.75,0.199125742,0.368204786,,,,,,,,
JBHT,5,5,1,1.50225563,0.612998018,,,,,,,,
UNH,2,2,1,0.429910407,0.166979055,,,,,,,,
ATO,3,5,0.6,0.273002557,0.13842861,,,,,,,,
VZ,5,5,1,0.290495301,0.125409737,,,,,,,,
T,3,5,0.6,0.065071939,0.061899152,,,,,,,,
VTR,2,3,0.666666667,-0.079866946,0.261803073,,,,,,,,
ROST,8,9,0.888888889,0.381349942,0.527929031,,,,,,,,
EXPD,2,4,0.5,0.114858376,0.176496896,,,,,,,,
IT,3,4,0.75,0.134218838,0.088707252,,,,,,,,
NEE,4,5,0.8,0.268963493,0.189918812,,,,,,,,
CFG,1,1,1,0.129018703,0.784863774,,,,,,,,
MO,4,6,0.666666667,0.099610492,0.594648688,,,,,,,,
BBY,5,6,0.833333333,0.259267545,0.231780727,,,,,,,,
PNW,2,6,0.333333333,-0.014271375,0.095476279,,,,,,,,
PEAK,3,4,0.75,0.180460732,0.084824958,,,,,,,,
ALK,7,9,0.777777778,0.160577334,0.3630291,,,,,,,,
WELL,4,6,0.666666667,0.183902742,0.235940796,,,,,,,,
ADSK,4,5,0.8,0.121557661,0.226665451,,,,,,,,
HON,5,6,0.833333333,0.383540029,0.280610805,,,,,,,,
JKHY,3,4,0.75,2.091165044,0.332163357,,,,,,,,
DRE,3,3,1,0.219162232,0.112685636,,,,,,,,
WEC,6,7,0.857142857,0.090081565,0.316486754,,,,,,,,
PEG,3,5,0.6,0.240521623,0.300092149,,,,,,,,
MSFT,2,2,1,0.094931418,0.034374323,,,,,,,,
MGM,6,7,0.857142857,0.362964835,0.489897228,,,,,,,,
ADBE,5,6,0.833333333,0.255378751,0.499068672,,,,,,,,
OXY,5,6,0.833333333,0.151094937,0.375440179,,,,,,,,
FISV,1,1,1,0.218557337,0.153410438,,,,,,,,
QCOM,3,4,0.75,0.33355514,0.243970425,,,,,,,,
CERN,6,6,1,0.529383553,0.603453072,,,,,,,,
CMS,4,7,0.571428571,0.192916043,0.099550075,,,,,,,,
CDNS,2,4,0.5,0.009163586,0.087143837,,,,,,,,
PARA,1,3,0.333333333,-0.115867096,0.240751582,,,,,,,,
NWL,2,3,0.666666667,0.073659232,0.220503347,,,,,,,,
ABMD,5,5,1,0.713812864,0.779492279,,,,,,,,
CCL,3,5,0.6,0.339848955,0.191235304,,,,,,,,
FAST,1,2,0.5,0.337271851,0.373247536,,,,,,,,
XRAY,1,3,0.333333333,0.089925603,0.03782507,,,,,,,,
AMP,2,3,0.666666667,-0.050287169,-0.038755635,,,,,,,,
APH,1,2,0.5,0.475321769,0.190232325,,,,,,,,
EOG,3,3,1,0.471273097,0.321655281,,,,,,,,
PHM,6,7,0.857142857,0.291800107,0.218673614,,,,,,,,
WM,2,5,0.4,-0.0419482,-0.007563171,,,,,,,,
EIX,2,4,0.5,-0.035947614,0.095555147,,,,,,,,
MCHP,3,4,0.75,0.431829377,0.187562501,,,,,,,,
SBUX,4,5,0.8,0.314515215,0.249538721,,,,,,,,
C,4,6,0.666666667,0.114987989,0.0396553,,,,,,,,
FCX,1,2,0.5,0.236747207,0.043028709,,,,,,,,
IEX,1,2,0.5,0.097902223,0.054097581,,,,,,,,
JCI,4,6,0.666666667,0.16549896,0.211738172,,,,,,,,
TECH,5,5,1,0.648092291,0.571063324,,,,,,,,
NLOK,3,6,0.5,0.203925282,0.25828061,,,,,,,,
MHK,4,5,0.8,0.516250019,0.507490531,,,,,,,,
PTC,2,6,0.333333333,0.243924534,0.412929653,,,,,,,,
CTRA,2,4,0.5,0.168678605,0.384785779,,,,,,,,
CSCO,6,8,0.75,0.176971598,0.84955614,,,,,,,,
HOLX,3,4,0.75,0.168277425,0.153337215,,,,,,,,
HCA,0,0,0,0,0,,,,,,,,
TYL,7,8,0.875,1.011680579,0.760082263,,,,,,,,
TRMB,5,6,0.833333333,0.305179195,0.274043192,,,,,,,,
MNST,1,2,0.5,-0.148370646,-0.028813087,,,,,,,,
AZO,6,6,1,0.278838319,0.435539717,,,,,,,,
REGN,2,3,0.666666667,0.111923686,0.082547347,,,,,,,,
IDXX,3,3,1,0.350692396,0.681423536,,,,,,,,
AES,1,5,0.2,-0.206972866,-0.128038008,,,,,,,,
HIG,2,3,0.666666667,0.331673912,0.339596868,,,,,,,,
BIIB,5,5,1,1.712237967,1.215855924,,,,,,,,
VRTX,3,4,0.75,0.128302909,0.042501121,,,,,,,,
ZBRA,2,4,0.5,0.105233512,0.434996524,,,,,,,,
CTXS,5,6,0.833333333,0.35002451,0.371642057,,,,,,,,
ODFL,2,4,0.5,0.10067872,0.135512502,,,,,,,,
KIM,1,1,1,0.111603375,0.438013248,,,,,,,,
INCY,4,5,0.8,6.941307679,2.144560292,,,,,,,,
GILD,3,4,0.75,1.696538729,0.926301275,,,,,,,,
DHI,3,4,0.75,1.432297614,0.425244664,,,,,,,,
ROP,2,2,1,0.436361012,0.370675544,,,,,,,,
SNPS,4,4,1,0.336352278,0.404465317,,,,,,,,
RCL,4,4,1,1.588512349,2.120851466,,,,,,,,
BSX,1,4,0.25,-0.080748785,0.16438784,,,,,,,,
GS,3,4,0.75,0.050170262,0.284796562,,,,,,,,
MTCH,2,3,0.666666667,2.19019033,1.518098111,,,,,,,,
MS,7,8,0.875,0.293911664,0.216617061,,,,,,,,
CB,2,2,1,1.632668433,0.750304724,,,,,,,,
INTU,3,3,1,0.610074306,0.306771664,,,,,,,,
ORLY,3,3,1,1.464451734,0.596056962,,,,,,,,
ALL,3,3,1,0.468465171,0.26829895,,,,,,,,
VNO,2,3,0.666666667,0.472811068,0.299526684,,,,,,,,
CPRT,2,2,1,1.091157116,0.517934613,,,,,,,,
EQR,1,1,1,0.251396648,1.456504389,,,,,,,,
NVR,4,7,0.571428571,0.159372065,0.123599071,,,,,,,,
BWA,2,2,1,0.663984308,0.570675823,,,,,,,,
COST,4,7,0.571428571,0.159315852,0.190675346,,,,,,,,
REG,2,3,0.666666667,0.068103286,0.191213161,,,,,,,,
MAA,0,1,0,-0.029951691,-0.010020502,,,,,,,,
IVZ,1,4,0.25,0.046597501,-0.031866229,,,,,,,,
EMN,2,3,0.666666667,0.550547658,0.536671718,,,,,,,,
AVB,5,5,1,0.468717176,0.18511194,,,,,,,,
ALB,3,3,1,0.245311343,0.241609871,,,,,,,,
MLM,3,4,0.75,0.294709434,0.636655379,,,,,,,,
TSCO,4,6,0.666666667,0.45370921,0.813219432,,,,,,,,
LH,1,2,0.5,0.046812358,0.028521685,,,,,,,,
ESS,3,3,1,0.221562334,0.120266325,,,,,,,,
LEN,2,3,0.666666667,-0.08615623,0.085535287,,,,,,,,
PENN,1,2,0.5,-0.102491195,0.00342835,,,,,,,,
PPL,5,6,0.833333333,0.309736392,0.224729959,,,,,,,,
DVA,2,2,1,0.574276811,0.662144226,,,,,,,,
COF,2,3,0.666666667,-0.070344217,-0.02088129,,,,,,,,
MCK,2,2,1,1.162577601,0.481298666,,,,,,,,
DLTR,3,4,0.75,0.247792152,0.162630508,,,,,,,,
DTE,4,5,0.8,0.200007276,0.154673224,,,,,,,,
LMT,4,5,0.8,0.06516003,0.301269931,,,,,,,,
DRI,6,6,1,0.623596391,0.509686193,,,,,,,,
WAB,1,1,1,0.389971749,0.502967097,,,,,,,,
RMD,2,3,0.666666667,0.204456484,0.39642449,,,,,,,,
POOL,2,2,1,0.556420489,0.446479779,,,,,,,,
TTWO,2,2,1,0.745089674,0.453559282,,,,,,,,
HSIC,1,1,1,0.076923065,0.102470506,,,,,,,,
WAT,3,3,1,0.307723388,0.900674643,,,,,,,,
DISH,1,3,0.333333333,-0.15138424,-0.029168253,,,,,,,,
EL,3,5,0.6,0.16657888,0.447076828,,,,,,,,
NTAP,4,4,1,14.01035688,3.635692918,,,,,,,,
AEE,1,3,0.333333333,-0.028514841,0.015810424,,,,,,,,
SEE,2,3,0.666666667,0.494243482,0.557902424,,,,,,,,
FDS,3,3,1,0.482152853,0.334838705,,,,,,,,
ANSS,3,3,1,0.713623319,0.408943577,,,,,,,,
NRG,2,3,0.666666667,0.088569097,0.441706575,,,,,,,,
VRSN,3,4,0.75,-0.019830673,0.316075597,,,,,,,,
AMZN,2,2,1,5.422547387,1.084273362,,,,,,,,
IRM,3,4,0.75,0.285957838,0.120249389,,,,,,,,
DGX,2,2,1,0.13315641,0.457969389,,,,,,,,
ROK,4,6,0.666666667,0.186988963,0.23024611,,,,,,,,
FE,3,6,0.5,0.047492443,0.122802423,,,,,,,,
SRE,3,4,0.75,0.182779285,0.242928986,,,,,,,,
SBAC,0,0,0,0,0,,,,,,,,
VLO,7,9,0.777777778,0.331574405,0.736635983,,,,,,,,
ISRG,3,3,1,0.643988118,0.486407069,,,,,,,,
ARE,2,2,1,0.13132268,0.133329356,,,,,,,,
RL,2,2,1,0.636012318,0.385134406,,,,,,,,
BXP,1,2,0.5,0.195523559,0.290034148,,,,,,,,
MTD,5,5,1,0.462805958,0.49602258,,,,,,,,
AME,3,5,0.6,0.143523471,0.506754998,,,,,,,,
PXD,3,4,0.75,0.24989227,0.313939356,,,,,,,,
OKE,5,7,0.714285714,0.196994141,0.304985215,,,,,,,,
YUM,3,3,1,0.196698552,0.680874901,,,,,,,,
CHRW,1,1,1,0.207931457,0.099338981,,,,,,,,
JNPR,3,4,0.75,-0.01084695,0.072479861,,,,,,,,
PLD,3,3,1,0.18879116,0.285453681,,,,,,,,
NVDA,4,5,0.8,0.357300232,0.855346855,,,,,,,,
ED,6,7,0.857142857,0.257046038,0.124985728,,,,,,,,
MAR,4,4,1,0.685070076,0.311849273,,,,,,,,
FFIV,0,1,0,-0.269380531,-0.093021659,,,,,,,,
FDX,7,9,0.777777778,0.324435916,0.580774983,,,,,,,,
PWR,2,3,0.666666667,0.265355122,0.400174014,,,,,,,,
CCI,1,2,0.5,-0.087639208,-0.152430735,,,,,,,,
AMT,1,1,1,0.445070423,0.580181087,,,,,,,,
CMG,2,2,1,0.611930112,0.25504133,,,,,,,,
CTSH,3,3,1,0.50567107,1.036618874,,,,,,,,
MCO,4,5,0.8,0.171197719,0.328809535,,,,,,,,
RSG,4,4,1,0.427172834,0.981886444,,,,,,,,
SPG,1,1,1,0.207065647,0.748306545,,,,,,,,
EBAY,2,3,0.666666667,0.568556588,0.265616035,,,,,,,,
NFLX,3,3,1,0.796002989,1.888284212,,,,,,,,
LKQ,0,0,0,0,0,,,,,,,,
URI,1,1,1,0.4,0.353510896,,,,,,,,
BRK-B,4,6,0.666666667,0.098399145,0.180209443,,,,,,,,
HST,1,3,0.333333333,0.06545263,-0.002702962,,,,,,,,
CNC,3,3,1,0.221465124,0.674363055,,,,,,,,
BKNG,3,3,1,0.530198777,0.61816931,,,,,,,,
AKAM,3,4,0.75,0.830670825,0.533998479,,,,,,,,
DVN,2,3,0.666666667,0.158297477,0.10163052,,,,,,,,
UPS,1,3,0.333333333,0.186834305,0.047517896,,,,,,,,
A,3,4,0.75,0.09370031,0.08377593,,,,,,,,
CHTR,2,2,1,0.644514414,0.357329938,,,,,,,,
DXCM,1,1,1,2.973538414,1.338275612,,,,,,,,
TDY,0,1,0,-0.342828499,-0.278691319,,,,,,,,
RE,3,4,0.75,0.608301352,0.372792601,,,,,,,,
ALGN,2,3,0.666666667,3.631584465,0.821997235,,,,,,,,
MET,1,2,0.5,0.162233211,0.347247414,,,,,,,,
EW,4,4,1,0.501973105,0.486576886,,,,,,,,
CRL,3,3,1,0.247954325,0.34933983,,,,,,,,
EQIX,2,3,0.666666667,0.374003107,0.835028596,,,,,,,,
MDLZ,4,6,0.666666667,0.0537342,0.209240907,,,,,,,,
CRM,3,3,1,0.470698681,1.218503955,,,,,,,,
EXC,9,9,1,0.222989158,0.364339291,,,,,,,,
ILMN,1,1,1,0.373709158,0.382083592,,,,,,,,
NI,4,7,0.571428571,0.133798976,0.157280673,,,,,,,,
IPGP,2,2,1,0.277495686,0.269416694,,,,,,,,
TROW,3,4,0.75,0.470879887,0.265450373,,,,,,,,
TPR,3,5,0.6,0.003986679,0.166597642,,,,,,,,
NDAQ,0,1,0,-0.192674381,-0.036628203,,,,,,,,
GRMN,2,4,0.5,0.137188347,0.14605132,,,,,,,,
GPN,2,2,1,0.430610903,0.201897916,,,,,,,,
PFG,2,2,1,0.375014188,0.429485879,,,,,,,,
CNP,3,4,0.75,0.178588574,0.110727983,,,,,,,,
FRC,1,1,1,0.138900402,0.367381497,,,,,,,,
NOC,2,3,0.666666667,0.375926144,0.19724101,,,,,,,,
ZBH,2,4,0.5,0.127708229,0.158114721,,,,,,,,
FIS,1,2,0.5,0.018611293,0.17758538,,,,,,,,
PRU,2,4,0.5,0.028359166,0.076532053,,,,,,,,
STX,2,3,0.666666667,0.552614591,0.221834493,,,,,,,,
CBRE,1,1,1,7.973509934,3.468809447,,,,,,,,
WTW,3,4,0.75,0.275953489,0.527149795,,,,,,,,
ABC,0,0,0,0,0,,,,,,,,
MA,2,2,1,0.296408818,0.712281939,,,,,,,,
ANTM,2,3,0.666666667,0.091516912,0.049002521,,,,,,,,
CME,2,2,1,0.877201753,1.031196427,,,,,,,,
AAP,2,2,1,0.28241331,0.288630658,,,,,,,,
COP,4,4,1,0.713236895,0.701520464,,,,,,,,
NEM,3,5,0.6,0.261944176,0.118923449,,,,,,,,
CMCSA,4,5,0.8,0.310326255,0.229998087,,,,,,,,
KMX,5,7,0.714285714,0.41057961,0.34597831,,,,,,,,
WYNN,2,2,1,0.225770184,0.379736365,,,,,,,,
FLT,0,0,0,0,0,,,,,,,,
MOH,2,2,1,0.476090891,0.580831872,,,,,,,,
TDG,1,1,1,1.428968117,0.358469665,,,,,,,,
FTNT,2,2,1,0.455806718,0.685812927,,,,,,,,
AIZ,1,1,1,0.21074466,0.784916334,,,,,,,,
MKTX,0,2,0,-0.146979099,-0.086849525,,,,,,,,
MPWR,3,3,1,0.600966323,0.863189143,,,,,,,,
RF,3,4,0.75,0.071797053,0.083028006,,,,,,,,
TMUS,2,3,0.666666667,0.080568246,0.122853455,,,,,,,,
MOS,3,5,0.6,0.400566979,0.429289498,,,,,,,,
DPZ,4,5,0.8,0.026815952,0.151684608,,,,,,,,
SBNY,0,0,0,0,0,,,,,,,,
EXR,3,4,0.75,0.148157721,0.097300102,,,,,,,,
DLR,1,1,1,0.130650629,0.11168028,,,,,,,,
LVS,3,4,0.75,0.433670855,0.447122836,,,,,,,,
CE,2,2,1,0.646585179,0.511926821,,,,,,,,
TSLA,0,0,0,0,0,,,,,,,,
CF,1,3,0.333333333,0.001407828,0.029331221,,,,,,,,
EXPE,2,2,1,0.236065989,0.179137331,,,,,,,,
DUK,4,4,1,0.26170331,0.254498633,,,,,,,,
FB,1,1,1,1.95081957,1.418424588,,,,,,,,
LYV,2,2,1,0.816249399,0.330728148,,,,,,,,
UAA,1,3,0.333333333,0.034062675,0.187347597,,,,,,,,
UA,0,1,0,-0.416140363,-0.152043276,,,,,,,,
LDOS,0,1,0,-0.019917957,-0.010613218,,,,,,,,
ORCL,5,5,1,0.59322777,1.10218773,,,,,,,,
EPAM,0,0,0,0,0,,,,,,,,
BLK,3,4,0.75,0.195812555,0.384192108,,,,,,,,
ETSY,0,0,0,0,0,,,,,,,,
NOW,2,2,1,0.730105799,1.343214382,,,,,,,,
CBOE,0,1,0,-0.002304147,-0.002129149,,,,,,,,
PBCT,4,5,0.8,0.863798129,0.497984707,,,,,,,,
BR,1,1,1,0.589603931,0.433008923,,,,,,,,
TEL,4,5,0.8,0.247484899,0.218190204,,,,,,,,
BK,3,3,1,0.645724593,0.328743211,,,,,,,,
PSA,6,8,0.75,0.26278095,0.129911671,,,,,,,,
DFS,3,3,1,0.233629819,0.669023867,,,,,,,,
VMC,3,4,0.75,0.324724216,0.145832365,,,,,,,,
CDW,1,1,1,0.102606252,0.513031262,,,,,,,,
V,1,1,1,0.169380634,0.246310484,,,,,,,,
ULTA,2,2,1,1.018232656,0.860977563,,,,,,,,
MSCI,1,2,0.5,0.225065234,0.425245528,,,,,,,,
AWK,1,1,1,0.127245087,0.137004297,,,,,,,,
PM,0,1,0,-0.001292667,-0.00374463,,,,,,,,
NXPI,0,0,0,0,0,,,,,,,,
TWTR,0,0,0,0,0,,,,,,,,
